frequency,raw
20.00,6.09
20.20,6.09
20.40,6.09
20.61,6.09
20.81,6.09
21.02,6.09
21.23,6.09
21.44,6.09
21.66,6.09
21.87,6.09
22.09,6.09
22.31,6.09
22.54,6.09
22.76,6.09
22.99,6.09
23.22,6.09
23.45,6.09
23.69,6.09
23.92,6.09
24.16,6.08
24.40,6.08
24.65,6.08
24.89,6.08
25.14,6.08
25.39,6.08
25.65,6.08
25.91,6.08
26.16,6.08
26.43,6.08
26.69,6.08
26.96,6.08
27.23,6.07
27.50,6.07
27.77,6.07
28.05,6.07
28.33,6.07
28.62,6.07
28.90,6.07
29.19,6.07
29.48,6.06
29.78,6.06
30.08,6.06
30.38,6.06
30.68,6.06
30.99,6.06
31.30,6.05
31.61,6.05
31.93,6.05
32.24,6.05
32.57,6.05
32.89,6.04
33.22,6.04
33.55,6.04
33.89,6.04
34.23,6.03
34.57,6.03
34.92,6.03
35.27,6.02
35.62,6.02
35.97,6.02
36.33,6.01
36.70,6.01
37.06,6.01
37.43,6.00
37.81,6.00
38.19,6.00
38.57,5.99
38.95,5.99
39.34,5.98
39.74,5.98
40.14,5.97
40.54,5.97
40.94,5.96
41.35,5.96
41.76,5.95
42.18,5.94
42.60,5.94
43.03,5.93
43.46,5.92
43.90,5.92
44.33,5.91
44.78,5.90
45.23,5.89
45.68,5.89
46.13,5.88
46.60,5.87
47.06,5.86
47.53,5.85
48.01,5.84
48.49,5.83
48.97,5.82
49.46,5.81
49.96,5.80
50.46,5.79
50.96,5.77
51.47,5.76
51.99,5.75
52.51,5.73
53.03,5.72
53.56,5.70
54.10,5.69
54.64,5.67
55.18,5.66
55.74,5.64
56.29,5.62
56.86,5.61
57.42,5.59
58.00,5.57
58.58,5.55
59.16,5.53
59.76,5.51
60.35,5.49
60.96,5.46
61.57,5.44
62.18,5.42
62.80,5.39
63.43,5.37
64.07,5.34
64.71,5.32
65.35,5.29
66.01,5.26
66.67,5.23
67.33,5.20
68.01,5.17
68.69,5.14
69.37,5.11
70.07,5.08
70.77,5.04
71.48,5.01
72.19,4.97
72.91,4.93
73.64,4.90
74.38,4.86
75.12,4.82
75.87,4.78
76.63,4.74
77.40,4.70
78.17,4.66
78.95,4.61
79.74,4.57
80.54,4.52
81.35,4.48
82.16,4.43
82.98,4.38
83.81,4.34
84.65,4.29
85.50,4.24
86.35,4.19
87.22,4.14
88.09,4.09
88.97,4.03
89.86,3.98
90.76,3.93
91.66,3.87
92.58,3.82
93.51,3.76
94.44,3.71
95.39,3.65
96.34,3.60
97.30,3.54
98.28,3.48
99.26,3.43
100.25,3.37
101.25,3.31
102.27,3.25
103.29,3.20
104.32,3.14
105.37,3.08
106.42,3.02
107.48,2.96
108.56,2.91
109.64,2.85
110.74,2.79
111.85,2.73
112.97,2.68
114.10,2.62
115.24,2.56
116.39,2.51
117.55,2.45
118.73,2.40
119.92,2.34
121.12,2.29
122.33,2.24
123.55,2.18
124.79,2.13
126.03,2.08
127.29,2.03
128.57,1.98
129.85,1.93
131.15,1.88
132.46,1.83
133.79,1.78
135.12,1.74
136.48,1.69
137.84,1.64
139.22,1.60
140.61,1.56
142.02,1.51
143.44,1.47
144.87,1.43
146.32,1.39
147.78,1.35
149.26,1.31
150.75,1.28
152.26,1.24
153.78,1.20
155.32,1.17
156.88,1.13
158.44,1.10
160.03,1.07
161.63,1.04
163.24,1.01
164.88,0.98
166.53,0.95
168.19,0.92
169.87,0.89
171.57,0.86
173.29,0.84
175.02,0.81
176.77,0.79
178.54,0.77
180.32,0.74
182.13,0.72
183.95,0.70
185.79,0.68
187.65,0.66
189.52,0.64
191.42,0.62
193.33,0.60
195.27,0.58
197.22,0.56
199.19,0.55
201.18,0.53
203.19,0.51
205.23,0.50
207.28,0.48
209.35,0.47
211.44,0.46
213.56,0.44
215.69,0.43
217.85,0.42
220.03,0.41
222.23,0.40
224.45,0.38
226.70,0.37
228.96,0.36
231.25,0.35
233.57,0.34
235.90,0.33
238.26,0.33
240.64,0.32
243.05,0.31
245.48,0.30
247.93,0.29
250.41,0.29
252.92,0.28
255.45,0.27
258.00,0.26
260.58,0.26
263.19,0.25
265.82,0.25
268.48,0.24
271.16,0.23
273.87,0.23
276.61,0.22
279.38,0.22
282.17,0.21
284.99,0.21
287.84,0.21
290.72,0.20
293.63,0.20
296.57,0.19
299.53,0.19
302.53,0.19
305.55,0.18
308.61,0.18
311.69,0.18
