frequency,raw
20.00,3.47
20.20,3.47
20.40,3.47
20.61,3.47
20.81,3.47
21.02,3.48
21.23,3.48
21.44,3.48
21.66,3.48
21.87,3.48
22.09,3.48
22.31,3.48
22.54,3.48
22.76,3.48
22.99,3.49
23.22,3.49
23.45,3.49
23.69,3.49
23.92,3.49
24.16,3.49
24.40,3.49
24.65,3.49
24.89,3.49
25.14,3.49
25.39,3.49
25.65,3.50
25.91,3.50
26.16,3.50
26.43,3.50
26.69,3.50
26.96,3.50
27.23,3.50
27.50,3.50
27.77,3.50
28.05,3.50
28.33,3.50
28.62,3.50
28.90,3.50
29.19,3.50
29.48,3.50
29.78,3.51
30.08,3.51
30.38,3.51
30.68,3.51
30.99,3.51
31.30,3.51
31.61,3.51
31.93,3.51
32.24,3.51
32.57,3.51
32.89,3.51
33.22,3.51
33.55,3.51
33.89,3.51
34.23,3.51
34.57,3.51
34.92,3.50
35.27,3.50
35.62,3.50
35.97,3.50
36.33,3.50
36.70,3.50
37.06,3.50
37.43,3.50
37.81,3.50
38.19,3.50
38.57,3.50
38.95,3.49
39.34,3.49
39.74,3.49
40.14,3.49
40.54,3.49
40.94,3.48
41.35,3.48
41.76,3.48
42.18,3.48
42.60,3.47
43.03,3.47
43.46,3.47
43.90,3.47
44.33,3.46
44.78,3.46
45.23,3.46
45.68,3.45
46.13,3.45
46.60,3.44
47.06,3.44
47.53,3.43
48.01,3.43
48.49,3.42
48.97,3.42
49.46,3.41
49.96,3.41
50.46,3.40
50.96,3.39
51.47,3.39
51.99,3.38
52.51,3.37
53.03,3.36
53.56,3.36
54.10,3.35
54.64,3.34
55.18,3.33
55.74,3.32
56.29,3.31
56.86,3.30
57.42,3.29
58.00,3.28
58.58,3.27
59.16,3.26
59.76,3.24
60.35,3.23
60.96,3.22
61.57,3.20
62.18,3.19
62.80,3.18
63.43,3.16
64.07,3.14
64.71,3.13
65.35,3.11
66.01,3.10
66.67,3.08
67.33,3.06
68.01,3.04
68.69,3.02
69.37,3.00
70.07,2.98
70.77,2.96
71.48,2.94
72.19,2.92
72.91,2.89
73.64,2.87
74.38,2.85
75.12,2.82
75.87,2.80
76.63,2.77
77.40,2.74
78.17,2.72
78.95,2.69
79.74,2.66
80.54,2.63
81.35,2.60
82.16,2.57
82.98,2.54
83.81,2.51
84.65,2.48
85.50,2.45
86.35,2.42
87.22,2.38
88.09,2.35
88.97,2.32
89.86,2.28
90.76,2.25
91.66,2.21
92.58,2.18
93.51,2.14
94.44,2.10
95.39,2.07
96.34,2.03
97.30,1.99
98.28,1.96
99.26,1.92
100.25,1.88
101.25,1.84
102.27,1.80
103.29,1.77
104.32,1.73
105.37,1.69
106.42,1.65
107.48,1.61
108.56,1.58
109.64,1.54
110.74,1.50
111.85,1.46
112.97,1.43
114.10,1.39
115.24,1.35
116.39,1.32
117.55,1.28
118.73,1.24
119.92,1.21
121.12,1.17
122.33,1.14
123.55,1.10
124.79,1.07
126.03,1.03
127.29,1.00
128.57,0.97
129.85,0.94
131.15,0.91
132.46,0.87
133.79,0.84
135.12,0.81
136.48,0.78
137.84,0.76
139.22,0.73
140.61,0.70
142.02,0.67
143.44,0.65
144.87,0.62
146.32,0.59
147.78,0.57
149.26,0.54
150.75,0.52
152.26,0.50
153.78,0.48
155.32,0.45
156.88,0.43
158.44,0.41
160.03,0.39
161.63,0.37
163.24,0.35
164.88,0.34
166.53,0.32
168.19,0.30
169.87,0.28
171.57,0.27
173.29,0.25
175.02,0.24
176.77,0.22
178.54,0.21
180.32,0.19
182.13,0.18
183.95,0.17
185.79,0.15
187.65,0.14
189.52,0.13
191.42,0.12
193.33,0.11
195.27,0.10
197.22,0.09
199.19,0.08
201.18,0.07
203.19,0.06
205.23,0.05
207.28,0.05
209.35,0.04
211.44,0.03
213.56,0.02
215.69,0.02
217.85,0.01
220.03,0.00
222.23,-0.00
224.45,-0.01
226.70,-0.01
228.96,-0.02
231.25,-0.02
233.57,-0.03
235.90,-0.03
238.26,-0.04
240.64,-0.04
243.05,-0.05
245.48,-0.05
247.93,-0.05
250.41,-0.06
252.92,-0.06
255.45,-0.06
258.00,-0.07
260.58,-0.07
263.19,-0.07
265.82,-0.07
268.48,-0.08
271.16,-0.08
273.87,-0.08
276.61,-0.08
279.38,-0.08
282.17,-0.09
284.99,-0.09
287.84,-0.09
290.72,-0.09
293.63,-0.09
296.57,-0.09
299.53,-0.09
302.53,-0.09
305.55,-0.10
308.61,-0.10
311.69,-0.10
314.81,-0.10
317.96,-0.10
321.14,-0.10
324.35,-0.10
327.59,-0.10
330.87,-0.10
334.18,-0.10
337.52,-0.10
340.90,-0.10
344.30,-0.10
347.75,-0.10
351.23,-0.10
354.74,-0.10
358.28,-0.10
361.87,-0.10
365.49,-0.10
369.14,-0.10
372.83,-0.10
376.56,-0.10
380.33,-0.10
384.13,-0.10
387.97,-0.10
391.85,-0.10
395.77,-0.09
399.73,-0.09
403.72,-0.09
407.76,-0.09
411.84,-0.09
415.96,-0.09
420.12,-0.09
424.32,-0.09
428.56,-0.09
432.85,-0.09
437.18,-0.09
441.55,-0.09
445.96,-0.09
450.42,-0.08
454.93,-0.08
459.48,-0.08
464.07,-0.08
468.71,-0.08
473.40,-0.08
478.13,-0.08
482.91,-0.08
487.74,-0.08
492.62,-0.08
497.55,-0.07
502.52,-0.07
507.55,-0.07
512.62,-0.07
517.75,-0.07
522.93,-0.07
528.16,-0.07
533.44,-0.07
538.77,-0.07
544.16,-0.06
549.60,-0.06
555.10,-0.06
560.65,-0.06
566.25,-0.06
571.92,-0.06
577.64,-0.06
583.41,-0.06
589.25,-0.05
595.14,-0.05
601.09,-0.05
607.10,-0.05
613.17,-0.05
619.30,-0.05
625.50,-0.05
631.75,-0.05
638.07,-0.04
644.45,-0.04
650.89,-0.04
657.40,-0.04
663.98,-0.04
670.62,-0.04
677.32,-0.04
684.10,-0.04
690.94,-0.03
697.85,-0.03
704.83,-0.03
711.87,-0.03
718.99,-0.03
726.18,-0.03
733.44,-0.03
740.78,-0.02
748.19,-0.02
755.67,-0.02
763.23,-0.02
770.86,-0.02
778.57,-0.02
786.35,-0.02
794.22,-0.02
802.16,-0.01
810.18,-0.01
818.28,-0.01
826.46,-0.01
834.73,-0.01
843.08,-0.01
851.51,-0.01
860.02,-0.00
868.62,-0.00
877.31,-0.00
886.08,-0.00
894.94,0.00
903.89,0.00
912.93,0.00
922.06,0.01
931.28,0.01
940.59,0.01
950.00,0.02
959.50,0.03
969.09,0.04
978.78,0.06
988.57,0.08
998.46,0.09
1008.44,0.11
1018.53,0.13
1028.71,0.15
1039.00,0.17
1049.39,0.19
1059.88,0.21
1070.48,0.23
1081.19,0.26
1092.00,0.29
1102.92,0.32
1113.95,0.36
1125.09,0.39
1136.34,0.43
1147.70,0.46
1159.18,0.50
1170.77,0.54
1182.48,0.58
1194.30,0.63
1206.25,0.68
1218.31,0.74
1230.49,0.79
1242.80,0.85
1255.22,0.90
1267.78,0.96
1280.45,1.02
1293.26,1.08
1306.19,1.15
1319.25,1.21
1332.45,1.28
1345.77,1.35
1359.23,1.41
1372.82,1.49
1386.55,1.56
1400.41,1.64
1414.42,1.72
1428.56,1.80
1442.85,1.89
1457.28,1.97
1471.85,2.05
1486.57,2.13
1501.43,2.22
1516.45,2.30
1531.61,2.39
1546.93,2.48
1562.40,2.57
1578.02,2.67
1593.80,2.77
1609.74,2.87
1625.84,2.97
1642.10,3.07
1658.52,3.17
1675.10,3.27
1691.85,3.38
1708.77,3.49
1725.86,3.60
1743.12,3.71
1760.55,3.82
1778.15,3.94
1795.94,4.06
1813.90,4.18
1832.03,4.31
1850.36,4.43
1868.86,4.56
1887.55,4.68
1906.42,4.81
1925.49,4.94
1944.74,5.08
1964.19,5.22
1983.83,5.36
2003.67,5.49
2023.71,5.60
2043.94,5.71
2064.38,5.82
2085.03,5.94
2105.88,6.05
2126.94,6.16
2148.20,6.27
2169.69,6.37
2191.38,6.48
2213.30,6.57
2235.43,6.67
2257.78,6.77
2280.36,6.87
2303.17,6.98
2326.20,7.08
2349.46,7.18
2372.95,7.28
